run,target,users,mean_user_probability_recovery,median_user_probability_recovery,fraction_users_harmed,mean_reuse_probability_gap,mean_method_probability_gap
v3_quality128_01,2,128,0.25939790718257427,0.6321676671504974,0.1953125,0.004912187265290361,0.002111998197506135
v3_query_only128_01,1,128,0.4268475277349353,0.7991151511669159,0.125,0.00832393586460962,0.002048608184850262
v3_query_only128_01,2,128,0.25939790718257427,0.6321676671504974,0.1953125,0.004912187265290361,0.002111998197506135
v3_query_only_canary_01,1,4,-11.438554510474205,-1.9227694272994995,0.75,0.00418937997892495,0.013482461683452074
v3_query_only_canary_01,2,4,0.2923605293035507,0.28807520866394043,0.5,0.005902391392737575,0.0023700417950749003
v4_batch_canary_01,1,4,-12.152045339345932,-1.914746642112732,0.75,0.00418937997892495,0.0137135926634073
v4_batch_canary_01,2,4,0.374661847949028,0.4194645881652832,0.25,0.005902391392737575,0.002813725732266825
v4_cal512_01,1,128,0.5913456715643406,0.8238562345504761,0.09375,0.00832393586460962,0.0017413651003152575
v4_cal512_01,2,128,0.4760718601755798,0.7048264145851135,0.1640625,0.004912187265290361,0.0015927745480439218
v4_cal512_01,3,128,0.0207063565030694,0.7448620200157166,0.1171875,0.006175870039442037,0.0016764790052547546
v4_cal512_01,4,128,0.7526548211462796,0.8742533624172211,0.046875,0.022580217824724923,0.003236091091821389
v4_cal512_01,5,128,0.047125528100878,0.6111167967319489,0.1796875,0.004978650234988844,0.0019048925460082946
v4_cal512_quality512_01,1,512,0.4251492933835834,0.8348235189914703,0.09375,0.008972102177722215,0.0016954510319919308
v4_cal512_quality512_01,2,512,0.37085471535101533,0.7260468602180481,0.158203125,0.0048336370236938325,0.0014206969899532395
v4_cal512_quality512_01,3,512,0.28564442379865795,0.7378804087638855,0.158203125,0.00554752159223421,0.0015118102310224886
v4_cal512_quality512_01,4,512,0.7696958957239985,0.8770637810230255,0.033203125,0.021532517657760715,0.003202736301318461
v4_cal512_quality512_01,5,512,0.06464465998578817,0.6501936316490173,0.189453125,0.004621846612280886,0.0017505405830888297
v4_full_history512_01,1,512,0.34171677380800247,0.8152634501457214,0.095703125,0.008972102177722215,0.0018917259531007853
v4_full_history512_01,2,512,0.18231015477795154,0.6398090720176697,0.201171875,0.0048336370236938325,0.0018745328452495864
v4_full_history512_01,3,512,0.05737736518494785,0.6525367498397827,0.20703125,0.00554752159223421,0.0022484171422547175
v4_full_history512_01,4,512,0.6952645883429796,0.8625466227531433,0.05078125,0.021532517657760715,0.004060767587361576
v4_full_history512_01,5,512,-0.1990959094837308,0.6008825600147247,0.216796875,0.004621846612280886,0.0020141397781116644
v4_full_history_canary_01,1,4,-12.152000099420547,-1.914736032485962,0.75,0.00418937997892495,0.0137135649565607
v4_full_history_canary_01,2,4,0.3746665269136429,0.4194670021533966,0.25,0.005902391392737575,0.0028136998880654
v4_prepare_canary_01,1,4,-12.15196718275547,-1.914725422859192,0.75,0.00418937997892495,0.013713537482544726
v4_prepare_canary_01,2,4,0.37466487288475037,0.41946497559547424,0.25,0.005902391392737575,0.0028137264307588
v4_release_batch_canary_01,1,4,0.8233615905046463,0.8196108937263489,0.0,0.00418937997892495,0.0005463866982608626
v4_release_batch_canary_01,2,4,0.6449363976716995,0.7481148838996887,0.0,0.005902391392737575,0.0017968770116567
v4_score512_01,1,128,0.5994931887835264,0.8172032535076141,0.09375,0.00832393586460962,0.0016977729537756643
v4_score512_01,2,128,0.4262251709587872,0.7109285295009613,0.171875,0.004912187265290361,0.0016221170808420997
v4_score512_01,3,128,0.027633923571556807,0.7433948814868927,0.109375,0.006175870039442037,0.001656255524721875
